id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
919900024798552575,685,Entire home/apt,15,4,9,2,0,11.710965111778185,Other,House,1,2.9166666666666665,1,24,0,2,1,1,1,1,0,1,0,1,0,1
184853,104.76,Entire home/apt,4,2,2,1.5,0,4.887367957768793,78704,House,1,15.166666666666666,2,3,0,1,0,0,1,1,0,1,0,0,1,1
1211503720026763584,231.5,Entire home/apt,4,2,2,2.5,0,7.4387579103201045,78752,House,1,1.8333333333333335,1,22,0,2,0,0,1,1,0,1,0,1,1,1
1674156712189446813,390,Entire home/apt,6,3,4,3,0,3.1423327240604246,78704,House,1,15.416666666666666,6,4,0,2,0,0,1,1,0,1,0,1,0,1
975346961114759374,117,Private room,4,1,2,1,0,7.982164423610465,78752,Hotel-like,0,3.25,92,5,0,1,1,0,1,1,1,0,0,1,1,1
23019704,230,Entire home/apt,3,3,1,2,0,6.268127454769865,78723,House,1,15.25,2,1,0,2,0,0,1,1,0,1,0,0,0,1
49831627,211,Entire home/apt,4,1,3,1,0,3.2802355942552177,78704,House,0,9.25,47,15,0,2,0,0,1,1,0,1,0,1,0,1
49050590,173.46,Entire home/apt,7,3,3,2,0,15.48877025314524,Other,House,1,5.166666666666667,1,4,0,5,0,0,1,1,0,1,1,1,1,1
1602298020786842333,252.8,Entire home/apt,4,2,2,2,0,5.814131142402317,78704,Apartment/Condo,1,4.5,178,0,1,1,1,0,1,0,0,1,0,0,1,1
1629268208973356374,241.5,Entire home/apt,6,3,3,2.5,0,5.270356775169008,78704,House,1,10.416666666666666,23,6,0,2,0,0,1,1,0,1,0,1,1,1
15395312,316.28999999999996,Entire home/apt,6,3,4,2.5,0,12.28935823202435,78744,House,1,11.25,3,0,0,7,0,0,1,1,0,1,0,1,0,1
1151379535175193483,231,Entire home/apt,4,1,2,1,0,3.6583544976993125,78704,Apartment/Condo,0,1.75,1,39,0,1,0,0,1,1,0,1,0,0,0,1
10254489,129.33,Entire home/apt,4,2,2,1,0,4.508515201950581,78751,House,1,15.083333333333334,10,5,0,3,0,0,1,1,0,1,0,0,0,1
